Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
13,8,55,93,10,6,50,87,10,6,50,87,10,6,49,82,10,6,49,82,.000241592,11
18,12,94,155,12,9,71,122,10,6,66,114,10,6,80,150,10,6,80,150,.000273551,10
25,18,131,232,13,11,76,133,12,8,69,120,12,8,68,115,12,8,68,115,.000256581,12
11,7,56,98,10,8,47,85,8,4,48,86,9,4,45,81,9,4,45,81,.000223491,8
16,10,65,107,9,5,69,128,9,5,69,128,9,5,68,126,9,5,68,126,.00022333,9
36,25,150,249,14,14,74,124,14,10,65,105,14,10,69,113,14,10,69,113,.000362307,15
19,16,94,167,12,11,61,104,12,9,58,98,12,9,46,72,12,9,46,72,.000264553,14
21,12,66,96,17,14,62,94,12,9,49,76,12,9,56,92,12,9,56,92,.00026024,13
11,7,39,63,7,9,28,45,7,4,33,59,7,4,33,59,7,4,33,59,.000210859,8
25,17,99,162,11,7,47,73,11,7,47,73,11,7,53,85,11,7,53,85,.000242684,11
18,10,79,133,10,10,54,93,10,5,49,82,10,5,49,82,10,5,49,82,.000286179,8
12,6,71,121,9,5,62,113,9,4,55,97,9,4,53,93,9,4,53,93,.000226359,9
18,13,104,177,12,10,67,114,12,8,65,109,12,8,68,114,12,8,68,114,.000242598,13
14,7,48,67,9,6,32,44,9,4,32,44,9,4,32,44,9,4,32,44,.000292941,8
15,11,51,74,7,7,32,50,7,5,30,48,7,5,30,48,7,5,30,48,.000256682,9
10,6,53,93,14,8,66,114,10,5,54,95,10,5,53,90,10,5,53,90,.000232947,10
13,10,66,110,11,8,57,93,11,7,56,90,11,7,56,90,11,7,56,90,.000245059,11
11,9,38,57,9,7,42,72,9,7,42,72,9,7,41,64,9,7,41,64,.000229922,11
16,14,116,208,15,11,98,175,11,7,74,131,11,7,80,145,11,7,80,145,.00027726,11
17,12,64,95,13,10,60,102,13,8,57,95,13,8,53,80,13,8,53,80,.000259595,13
24,18,100,152,13,11,76,127,13,9,72,118,13,9,60,93,13,9,60,93,.000280644,13
12,7,50,78,13,10,81,143,9,4,41,69,9,4,41,69,9,4,41,69,.000305503,8
15,9,80,140,13,8,73,128,13,8,73,128,13,8,70,114,13,8,70,114,.000260545,13
7,4,39,67,7,4,39,69,6,3,33,58,6,3,33,58,6,3,33,58,.000216703,6
10,6,36,54,10,11,50,82,9,5,35,53,9,5,40,62,9,5,40,62,.000266316,9
24,22,102,161,12,14,58,94,12,8,59,97,11,8,54,87,11,8,54,87,.000264519,12
8,6,29,46,9,9,42,69,8,5,36,63,8,5,29,42,8,5,29,42,.000218047,8
15,9,73,123,12,6,66,116,12,6,66,116,12,6,68,120,12,6,68,120,.000334323,11
14,10,78,139,10,8,55,98,10,6,59,103,10,6,56,93,10,6,56,93,.000235622,11
22,12,107,189,14,9,80,146,14,7,85,156,14,7,85,156,14,7,85,156,.000255544,11
22,16,90,140,14,12,67,109,14,10,67,109,14,10,63,102,14,10,63,102,.000254896,15
25,18,101,164,11,10,56,98,11,8,55,91,11,8,54,90,11,8,54,90,.000244316,12
57,40,281,486,18,18,94,158,14,10,104,191,14,10,95,173,14,10,95,173,.00028398,14
24,22,103,168,15,11,73,117,15,11,73,117,15,11,48,69,15,11,48,69,.000262214,16
11,7,51,88,11,6,49,80,10,6,47,78,10,6,47,78,10,6,47,78,.000240771,11
23,16,128,232,12,7,69,124,12,6,65,114,12,6,65,114,12,6,65,114,.00025058,10
12,10,61,102,8,6,44,70,8,6,44,70,8,6,47,81,8,6,47,81,.000234053,10
29,18,98,148,15,14,79,132,13,9,76,129,13,9,53,82,13,9,53,82,.000266786,13
18,11,82,131,12,8,60,97,11,6,44,66,11,6,51,79,11,6,51,79,.000261134,11
7,5,41,67,7,4,44,74,7,3,44,74,7,3,44,74,7,3,44,74,.000245531,8
16,10,58,87,8,5,35,58,7,3,33,54,7,3,33,54,7,3,33,54,.000215768,7
22,11,71,103,12,8,60,99,12,7,55,90,12,7,57,93,12,7,57,93,.000247504,12
10,7,38,62,7,7,35,58,7,5,29,45,7,5,31,48,7,5,31,48,.000271808,8
13,11,60,101,11,6,52,89,11,6,52,89,11,6,51,88,11,6,51,88,.000236237,10
13,9,77,135,14,10,80,144,12,6,73,121,12,6,76,131,12,6,76,131,.00034511,11
23,16,76,119,13,11,49,81,13,9,49,80,13,9,52,80,13,9,52,80,.000272114,14
20,15,61,90,14,14,53,81,12,9,50,78,11,9,48,78,11,9,48,78,.00025773,12
5,1,16,22,5,2,18,27,5,1,16,22,5,1,16,22,5,1,16,22,.000204544,5
12,6,56,94,13,11,61,101,11,6,56,94,11,6,52,88,11,6,52,88,.00024448,11
10,7,48,79,14,8,78,132,10,5,47,76,10,5,44,70,10,5,44,70,.000340049,10
16,9,84,142,11,12,65,119,7,4,49,91,7,4,47,87,7,4,47,87,.000234142,8
17,11,90,149,12,9,71,120,12,7,75,127,12,7,62,102,12,7,62,102,.000326622,12
11,9,62,104,10,6,50,81,10,4,43,66,10,4,43,66,10,4,43,66,.000271587,9
15,12,69,111,16,11,73,125,15,10,74,129,15,10,88,159,15,10,88,159,.000276106,15
13,9,67,116,11,8,60,104,11,7,59,101,11,7,57,94,11,7,57,94,.000285335,12
18,15,92,155,12,8,65,108,12,7,62,101,12,7,57,92,12,7,57,92,.000323373,12
17,13,56,90,13,10,47,76,13,10,47,76,13,10,47,76,13,10,47,76,.000257374,15
15,10,76,130,9,9,57,102,9,5,53,95,9,5,50,87,9,5,50,87,.000244323,9
12,9,58,99,11,8,51,83,10,5,33,48,10,5,38,59,10,5,38,59,.00023122,9
22,17,94,151,18,14,88,145,12,7,63,104,12,7,66,109,12,7,66,109,.000255485,11
18,13,88,148,13,9,62,106,13,9,62,106,13,9,65,112,13,9,65,112,.000363453,14
18,8,68,108,10,6,48,80,10,4,50,83,10,4,50,83,10,4,50,83,.000265213,9
9,5,48,80,8,4,42,69,8,4,42,69,8,4,42,69,8,4,42,69,.000232915,9
10,6,73,128,10,7,76,133,10,4,74,129,10,4,91,167,10,4,91,167,.000252344,9
12,9,59,100,10,6,42,66,10,5,42,66,10,5,42,66,10,5,42,66,.000234344,10
21,13,88,144,15,10,71,118,12,8,56,89,12,8,61,98,12,8,61,98,.000249166,13
11,7,47,79,12,7,47,77,11,6,44,71,11,6,45,78,11,6,45,78,.000233221,11
12,6,53,81,10,5,45,70,10,5,42,64,10,5,42,64,10,5,42,64,.000257704,10
9,5,47,75,8,4,37,57,8,3,35,53,8,3,40,64,8,3,40,64,.000230154,8
15,12,79,132,9,6,49,80,9,5,48,78,9,5,47,76,9,5,47,76,.000346165,9
15,7,68,110,10,5,48,79,10,5,48,79,10,5,48,79,10,5,48,79,.00024983,10
23,16,106,175,15,13,66,102,15,11,64,98,15,11,58,86,15,11,58,86,.00036491,16
17,7,91,152,14,6,82,138,12,5,69,116,12,5,68,113,12,5,68,113,.000263727,10
13,8,57,91,9,5,47,86,8,4,52,95,8,4,53,96,8,4,53,96,.000245187,8
11,9,53,88,8,6,38,60,8,6,38,60,8,6,33,50,8,6,33,50,.000293738,10
14,6,71,120,12,5,67,113,10,4,52,86,10,4,54,91,10,4,54,91,.000240863,9
10,6,36,53,10,6,34,48,10,5,33,47,10,5,33,47,10,5,33,47,.000224747,9
9,4,29,42,9,3,29,42,9,3,29,42,9,3,35,53,9,3,35,53,.000288651,8
20,15,72,110,14,10,54,81,14,9,53,78,14,9,50,73,14,9,50,73,.00025363,14
14,7,44,64,12,7,42,66,9,4,32,48,9,4,32,48,9,4,32,48,.000225658,8
28,19,130,222,12,8,64,108,12,7,63,106,12,7,56,88,12,7,56,88,.000256958,12
16,9,69,109,15,9,76,122,15,8,67,105,15,8,65,103,15,8,65,103,.00034896,13
9,5,48,84,8,4,46,82,8,3,46,81,8,3,46,81,8,3,46,81,.000240612,8
12,6,48,75,12,6,45,69,12,6,42,60,12,6,42,60,12,6,42,60,.000248043,11
9,5,43,76,10,5,45,78,7,3,37,63,7,3,37,63,7,3,37,63,.000228963,7
8,4,30,45,8,4,27,40,7,4,26,39,7,4,26,39,7,4,26,39,.000327931,8
